model,decoding_group,category_a,category_b,is_diagonal,n_runs,support_mean,support_total,joint_prevalence_mean,lift_mean,lift_sd
Gemma 4 4B,Stochastic,Mechanical,Payoff,False,3,10.333333333333334,31,0.05410122164048866,1.0807111434317316,0.09688735036134657
Gemma 4 4B,Stochastic,Mechanical,SocialJudgment,False,3,5.0,15,0.02617801047120419,0.6559802080635414,0.17683248189970865
Gemma 4 4B,Stochastic,Mechanical,Testimony,False,3,12.333333333333334,37,0.06457242582897033,1.2353331075917,0.11808920917051223
Gemma 4 4B,Stochastic,Mechanical,Uncertainty,False,3,3.3333333333333335,10,0.017452006980802792,0.5889176430294851,0.24994626302154435
Gemma 4 4B,Stochastic,Payoff,Behavioral,False,3,75.66666666666667,227,0.3961605584642234,0.9490189386882291,0.03551223330713211
Gemma 4 4B,Stochastic,Payoff,ClaimComparison,False,3,24.666666666666668,74,0.12914485165794065,0.9775624822651189,0.08424203860732651
Gemma 4 4B,Stochastic,Payoff,Mechanical,False,3,10.333333333333334,31,0.05410122164048866,1.0807111434317316,0.09688735036134657
Gemma 4 4B,Stochastic,Payoff,Payoff,True,3,137.33333333333334,412,0.719022687609075,,
Gemma 4 4B,Stochastic,Payoff,SocialJudgment,False,3,79.33333333333333,238,0.4153577661431065,1.0283820346320345,0.022786729630728548
Gemma 4 4B,Stochastic,Payoff,Testimony,False,3,106.33333333333333,319,0.5567190226876091,1.0270285852263326,0.011525108212044595
Gemma 4 4B,Stochastic,Payoff,Uncertainty,False,3,51.0,153,0.26701570680628267,0.8718576395869352,0.018944310521017974
Gemma 4 4B,Stochastic,SocialJudgment,Behavioral,False,3,60.333333333333336,181,0.3158813263525306,0.9672265201919618,0.023332745152789564
Gemma 4 4B,Stochastic,SocialJudgment,ClaimComparison,False,3,17.333333333333332,52,0.09075043630017453,0.8931740622616559,0.19674316590942192
Gemma 4 4B,Stochastic,SocialJudgment,Mechanical,False,3,5.0,15,0.02617801047120419,0.6559802080635414,0.17683248189970865
Gemma 4 4B,Stochastic,SocialJudgment,Payoff,False,3,79.33333333333333,238,0.4153577661431065,1.0283820346320345,0.022786729630728548
Gemma 4 4B,Stochastic,SocialJudgment,SocialJudgment,True,3,107.33333333333333,322,0.56195462478185,,
Gemma 4 4B,Stochastic,SocialJudgment,Testimony,False,3,74.66666666666667,224,0.3909249563699826,0.9235820008305501,0.03562185866147558
Gemma 4 4B,Stochastic,SocialJudgment,Uncertainty,False,3,41.333333333333336,124,0.21640488656195464,0.9004789633029265,0.10407588045992566
Gemma 4 4B,Stochastic,Testimony,Behavioral,False,3,85.0,255,0.4450261780104712,1.014649801721556,0.047675582501053373
Gemma 4 4B,Stochastic,Testimony,ClaimComparison,False,3,33.333333333333336,100,0.17452006980802792,1.267391739816152,0.060856837464581134
Gemma 4 4B,Stochastic,Testimony,Mechanical,False,3,12.333333333333334,37,0.06457242582897033,1.2353331075917,0.11808920917051223
Gemma 4 4B,Stochastic,Testimony,Payoff,False,3,106.33333333333333,319,0.5567190226876091,1.0270285852263326,0.011525108212044595
Gemma 4 4B,Stochastic,Testimony,SocialJudgment,False,3,74.66666666666667,224,0.3909249563699826,0.9235820008305501,0.03562185866147558
Gemma 4 4B,Stochastic,Testimony,Testimony,True,3,144.0,432,0.7539267015706805,,
Gemma 4 4B,Stochastic,Testimony,Uncertainty,False,3,56.0,168,0.29319371727748694,0.9145544073302906,0.04426883465851245
Gemma 4 4B,Stochastic,Uncertainty,Behavioral,False,3,40.333333333333336,121,0.21116928446771377,0.855341609614252,0.0058986724139414295
Gemma 4 4B,Stochastic,Uncertainty,ClaimComparison,False,3,10.666666666666666,32,0.05584642233856893,0.7125390863930762,0.20056787785254526
Gemma 4 4B,Stochastic,Uncertainty,Mechanical,False,3,3.3333333333333335,10,0.017452006980802792,0.5889176430294851,0.24994626302154435
Gemma 4 4B,Stochastic,Uncertainty,Payoff,False,3,51.0,153,0.26701570680628267,0.8718576395869352,0.018944310521017974
Gemma 4 4B,Stochastic,Uncertainty,SocialJudgment,False,3,41.333333333333336,124,0.21640488656195464,0.9004789633029265,0.10407588045992566
