model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_with_category,total_n_with_category,total_n_with_both,low_support_diagnostic
Gemma 4 31B,Stochastic,Testimony,Expansion,3,0.5399685239550861,0.011588646532984569,0.531578947368421,0.5531914893617021,187.66666666666666,563,304,False
Gemma 4 31B,Stochastic,Testimony,Temporal,3,0.4177007354498956,0.03304819523430495,0.3894736842105263,0.4540540540540541,187.66666666666666,563,235,False
Gemma 4 31B,Stochastic,Testimony,Any explicit,3,0.9591391503485568,0.0031920286597411514,0.9567567567567568,0.9627659574468085,187.66666666666666,563,540,False
Gemma 4 31B,Stochastic,SocialJudgment,Comparison,3,0.5163398692810458,0.028301483783805214,0.5,0.5490196078431373,57.0,171,88,False
Gemma 4 31B,Stochastic,SocialJudgment,Contingency,3,0.4305701447245565,0.03343494748355532,0.39215686274509803,0.453125,57.0,171,74,False
Gemma 4 31B,Stochastic,SocialJudgment,Expansion,3,0.5217086834733894,0.019062545642599713,0.5,0.5357142857142857,57.0,171,89,False
Gemma 4 31B,Stochastic,SocialJudgment,Temporal,3,0.35590277777777773,0.021049228564205116,0.3333333333333333,0.375,57.0,171,61,False
Gemma 4 31B,Stochastic,SocialJudgment,Any explicit,3,0.9449988328664799,0.037338822680376915,0.9019607843137255,0.96875,57.0,171,162,False
Gemma 4 31B,Stochastic,Behavioral,Comparison,3,0.5012769573054237,0.050717972651899874,0.46551724137931033,0.559322033898305,117.66666666666667,353,177,False
Gemma 4 31B,Stochastic,Behavioral,Contingency,3,0.5696866706939936,0.03285737109294191,0.5378151260504201,0.603448275862069,117.66666666666667,353,201,False
Gemma 4 31B,Stochastic,Behavioral,Expansion,3,0.5552713779842738,0.0047818851110011254,0.5508474576271186,0.5603448275862069,117.66666666666667,353,196,False
Gemma 4 31B,Stochastic,Behavioral,Temporal,3,0.47290476681613614,0.05403254227409401,0.43103448275862066,0.5338983050847458,117.66666666666667,353,167,False
Gemma 4 31B,Stochastic,Behavioral,Any explicit,3,0.9689228701416277,0.01733421083157223,0.9495798319327731,0.9830508474576272,117.66666666666667,353,342,False
