model,decoding_group,semantic_category,discourse_relation,n_runs,mean_relations_per_100_words,sd_relations_per_100_words,min_relations_per_100_words,max_relations_per_100_words,mean_per_justification_density,total_words,total_relations,low_support_diagnostic
Gemma 4 2B,Greedy,Behavioral,Comparison,1,0.8853288364249579,,0.8853288364249579,0.8853288364249579,0.8681925188093385,2372,21,False
Gemma 4 2B,Greedy,Behavioral,Contingency,1,1.0961214165261384,,1.0961214165261384,1.0961214165261384,1.0328708614689828,2372,26,False
Gemma 4 2B,Greedy,Behavioral,Expansion,1,0.7588532883642496,,0.7588532883642496,0.7588532883642496,0.7382354036397496,2372,18,False
Gemma 4 2B,Greedy,Behavioral,Temporal,1,0.12647554806070826,,0.12647554806070826,0.12647554806070826,0.12916755815583478,2372,3,False
Gemma 4 2B,Greedy,Behavioral,Any explicit,1,2.866779089376054,,2.866779089376054,2.866779089376054,2.7684663420739053,2372,68,False
Gemma 4 2B,Greedy,ClaimComparison,Comparison,1,1.120162932790224,,1.120162932790224,1.120162932790224,1.1420108078841733,982,11,True
Gemma 4 2B,Greedy,ClaimComparison,Contingency,1,1.2219959266802445,,1.2219959266802445,1.2219959266802445,1.1529330818984704,982,12,True
Gemma 4 2B,Greedy,ClaimComparison,Expansion,1,1.120162932790224,,1.120162932790224,1.120162932790224,1.167835514574789,982,11,True
Gemma 4 2B,Greedy,ClaimComparison,Temporal,1,0.5091649694501018,,0.5091649694501018,0.5091649694501018,0.519339035499062,982,5,True
Gemma 4 2B,Greedy,ClaimComparison,Any explicit,1,3.9714867617107945,,3.9714867617107945,3.9714867617107945,3.982118439856494,982,39,True
Gemma 4 2B,Greedy,Payoff,Comparison,1,1.0027755394395201,,1.0027755394395201,1.0027755394395201,0.996972920902342,11169,112,False
Gemma 4 2B,Greedy,Payoff,Contingency,1,1.38776971976005,,1.38776971976005,1.38776971976005,1.3642818422908392,11169,155,False
Gemma 4 2B,Greedy,Payoff,Expansion,1,1.02963559853165,,1.02963559853165,1.02963559853165,1.0282077275658188,11169,115,False
Gemma 4 2B,Greedy,Payoff,Temporal,1,0.21488047273704003,,0.21488047273704003,0.21488047273704003,0.22564577220660514,11169,24,False
Gemma 4 2B,Greedy,Payoff,Any explicit,1,3.63506133046826,,3.63506133046826,3.63506133046826,3.6151082629656055,11169,406,False
Gemma 4 2B,Greedy,Uncertainty,Comparison,1,1.1814859926918393,,1.1814859926918393,1.1814859926918393,1.1922523012476873,8210,97,False
Gemma 4 2B,Greedy,Uncertainty,Contingency,1,1.4981729598051157,,1.4981729598051157,1.4981729598051157,1.4629964395104729,8210,123,False
Gemma 4 2B,Greedy,Uncertainty,Expansion,1,0.9622411693057247,,0.9622411693057247,0.9622411693057247,0.950829072370638,8210,79,False
Gemma 4 2B,Greedy,Uncertainty,Temporal,1,0.13398294762484775,,0.13398294762484775,0.13398294762484775,0.14293869545360968,8210,11,False
Gemma 4 2B,Greedy,Uncertainty,Any explicit,1,3.7758830694275276,,3.7758830694275276,3.7758830694275276,3.749016508582408,8210,310,False
Gemma 4 4B,Stochastic,Mechanical,Comparison,3,1.1472931488303189,0.23292068379588982,0.97165991902834,1.4115092290988056,1.128601348277857,3195,36,True
Gemma 4 4B,Stochastic,Mechanical,Contingency,3,0.7177084506645647,0.21835555197247536,0.5428881650380022,0.9624639076034649,0.7516532041471363,3195,23,True
Gemma 4 4B,Stochastic,Mechanical,Expansion,3,0.7198565390176065,0.20874315197751164,0.48123195380173245,0.8686210640608035,0.7488163373293589,3195,23,True
Gemma 4 4B,Stochastic,Mechanical,Temporal,3,0.3346852133525548,0.1468733568323004,0.19249278152069296,0.48582995951417,0.34803286221993956,3195,11,True
Gemma 4 4B,Stochastic,Mechanical,Any explicit,3,2.9195433518650447,0.22696062138512707,2.6948989412897015,3.1487513572204127,2.9771037519742922,3195,93,True
