model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_semantic_sentences,total_n_semantic_sentences,total_n_joint_sentences,support_is_thin
Gemma 4 4B,Greedy,SocialJudgment,Expansion,1,0.2183406113537118,,0.2183406113537118,0.2183406113537118,229.0,229,50,False
Gemma 4 4B,Greedy,SocialJudgment,Temporal,1,0.07423580786026202,,0.07423580786026202,0.07423580786026202,229.0,229,17,False
Gemma 4 4B,Greedy,SocialJudgment,Any explicit,1,0.519650655021834,,0.519650655021834,0.519650655021834,229.0,229,119,False
Gemma 4 4B,Greedy,Behavioral,Comparison,1,0.288135593220339,,0.288135593220339,0.288135593220339,177.0,177,51,False
Gemma 4 4B,Greedy,Behavioral,Contingency,1,0.022598870056497175,,0.022598870056497175,0.022598870056497175,177.0,177,4,False
Gemma 4 4B,Greedy,Behavioral,Expansion,1,0.1751412429378531,,0.1751412429378531,0.1751412429378531,177.0,177,31,False
Gemma 4 4B,Greedy,Behavioral,Temporal,1,0.096045197740113,,0.096045197740113,0.096045197740113,177.0,177,17,False
Gemma 4 4B,Greedy,Behavioral,Any explicit,1,0.480225988700565,,0.480225988700565,0.480225988700565,177.0,177,85,False
Gemma 4 4B,Greedy,ClaimComparison,Comparison,1,0.1791044776119403,,0.1791044776119403,0.1791044776119403,67.0,67,12,False
Gemma 4 4B,Greedy,ClaimComparison,Contingency,1,0.0,,0.0,0.0,67.0,67,0,False
Gemma 4 4B,Greedy,ClaimComparison,Expansion,1,0.08955223880597014,,0.08955223880597014,0.08955223880597014,67.0,67,6,False
Gemma 4 4B,Greedy,ClaimComparison,Temporal,1,0.34328358208955223,,0.34328358208955223,0.34328358208955223,67.0,67,23,False
Gemma 4 4B,Greedy,ClaimComparison,Any explicit,1,0.47761194029850745,,0.47761194029850745,0.47761194029850745,67.0,67,32,False
Gemma 4 4B,Greedy,Payoff,Comparison,1,0.09933774834437085,,0.09933774834437085,0.09933774834437085,151.0,151,15,False
Gemma 4 4B,Greedy,Payoff,Contingency,1,0.24503311258278146,,0.24503311258278146,0.24503311258278146,151.0,151,37,False
Gemma 4 4B,Greedy,Payoff,Expansion,1,0.17218543046357615,,0.17218543046357615,0.17218543046357615,151.0,151,26,False
Gemma 4 4B,Greedy,Payoff,Temporal,1,0.019867549668874173,,0.019867549668874173,0.019867549668874173,151.0,151,3,False
Gemma 4 4B,Greedy,Payoff,Any explicit,1,0.4370860927152318,,0.4370860927152318,0.4370860927152318,151.0,151,66,False
Gemma 4 4B,Greedy,Uncertainty,Comparison,1,0.27350427350427353,,0.27350427350427353,0.27350427350427353,117.0,117,32,False
Gemma 4 4B,Greedy,Uncertainty,Contingency,1,0.07692307692307693,,0.07692307692307693,0.07692307692307693,117.0,117,9,False
Gemma 4 4B,Greedy,Uncertainty,Expansion,1,0.042735042735042736,,0.042735042735042736,0.042735042735042736,117.0,117,5,False
Gemma 4 4B,Greedy,Uncertainty,Temporal,1,0.008547008547008548,,0.008547008547008548,0.008547008547008548,117.0,117,1,False
Gemma 4 4B,Greedy,Uncertainty,Any explicit,1,0.39316239316239315,,0.39316239316239315,0.39316239316239315,117.0,117,46,False
Gemma 4 31B,Stochastic,Mechanical,Comparison,3,0.11652736975549027,0.017200565636530364,0.10084033613445378,0.1349206349206349,122.66666666666667,368,43,False
Gemma 4 31B,Stochastic,Mechanical,Contingency,3,0.502417769275732,0.02121223977381478,0.4789915966386555,0.5203252032520326,122.66666666666667,368,185,False
Gemma 4 31B,Stochastic,Mechanical,Expansion,3,0.24292318553437633,0.05636365016451641,0.19047619047619047,0.3025210084033613,122.66666666666667,368,89,False
Gemma 4 31B,Stochastic,Mechanical,Temporal,3,0.1386250977355712,0.02148212731747847,0.11382113821138211,0.15126050420168066,122.66666666666667,368,51,False
Gemma 4 31B,Stochastic,Mechanical,Any explicit,3,0.7360570244357906,0.022389201779164727,0.7226890756302521,0.7619047619047619,122.66666666666667,368,271,False
Gemma 4 31B,Stochastic,Testimony,Comparison,3,0.1627964694358877,0.01630737031670927,0.145933014354067,0.1784841075794621,420.0,1260,205,False
Gemma 4 31B,Stochastic,Testimony,Contingency,3,0.1316563835537232,0.010906716945189545,0.11961722488038277,0.14087759815242495,420.0,1260,166,False
Gemma 4 31B,Stochastic,Testimony,Expansion,3,0.22634299322840215,0.008118735571063056,0.21709006928406466,0.23227383863080683,420.0,1260,285,False
Gemma 4 31B,Stochastic,Testimony,Temporal,3,0.17104945929351703,0.023933614965484174,0.15242494226327943,0.1980440097799511,420.0,1260,215,False
